y,v,y_next,v_next
2.1464,5.8800,2.3659,5.4880
2.3659,5.4880,2.5698,5.0960
2.5698,5.0960,2.7579,4.7040
2.7579,4.7040,2.9304,4.3120
2.9304,4.3120,3.0872,3.9200
3.0872,3.9200,3.2283,3.5280
3.2283,3.5280,3.3538,3.1360
3.3538,3.1360,3.4635,2.7440
3.4635,2.7440,3.5576,2.3520
3.5576,2.3520,3.6360,1.9600
3.6360,1.9600,3.6987,1.5680
3.6987,1.5680,3.7458,1.1760
3.7458,1.1760,3.7771,0.7840
3.7771,0.7840,3.7928,0.3920
3.7928,0.3920,3.7928,-0.0000
3.7928,-0.0000,3.7771,-0.3920
3.7771,-0.3920,3.7458,-0.7840
3.7458,-0.7840,3.6987,-1.1760
3.6987,-1.1760,3.6360,-1.5680
3.6360,-1.5680,3.5576,-1.9600
3.5576,-1.9600,3.4635,-2.3520
3.4635,-2.3520,3.3538,-2.7440
3.3538,-2.7440,3.2283,-3.1360
3.2283,-3.1360,3.0872,-3.5280
3.0872,-3.5280,2.9304,-3.9200
2.9304,-3.9200,2.7579,-4.3120
2.7579,-4.3120,2.5698,-4.7040
2.5698,-4.7040,2.3659,-5.0960
2.3659,-5.0960,2.1464,-5.4880
2.1464,-5.4880,1.9112,-5.8800
1.9112,-5.8800,1.6603,-6.2720
1.6603,-6.2720,1.3938,-6.6640
1.3938,-6.6640,1.1115,-7.0560
1.1115,-7.0560,0.8136,-7.4480
0.8136,-7.4480,0.5000,4.7040
0.5000,4.7040,0.6725,4.3120
0.6725,4.3120,0.8293,3.9200
0.8293,3.9200,0.9704,3.5280
0.9704,3.5280,1.0958,3.1360
1.0958,3.1360,1.2056,2.7440
1.2056,2.7440,1.2997,2.3520
1.2997,2.3520,1.3781,1.9600
1.3781,1.9600,1.4408,1.5680
1.4408,1.5680,1.4878,1.1760
1.4878,1.1760,1.5192,0.7840
1.5192,0.7840,1.5349,0.3920
1.5349,0.3920,1.5349,0.0000
1.5349,0.0000,1.5192,-0.3920
1.5192,-0.3920,1.4878,-0.7840
1.4878,-0.7840,1.4408,-1.1760
1.4408,-1.1760,1.3781,-1.5680
1.3781,-1.5680,1.2997,-1.9600
1.2997,-1.9600,1.2056,-2.3520
1.2056,-2.3520,1.0958,-2.7440
1.0958,-2.7440,0.9704,-3.1360
0.9704,-3.1360,0.8293,-3.5280
0.8293,-3.5280,0.6725,-3.9200
0.6725,-3.9200,0.5000,-4.3120
0.5000,-4.3120,0.5000,2.8224
0.5000,2.8224,0.5972,2.4304
0.5972,2.4304,0.6788,2.0384
0.6788,2.0384,0.7446,1.6464
0.7446,1.6464,0.7948,1.2544
0.7948,1.2544,0.8293,0.8624
0.8293,0.8624,0.8481,0.4704
0.8481,0.4704,0.8512,0.0784
0.8512,0.0784,0.8387,-0.3136
0.8387,-0.3136,0.8105,-0.7056
0.8105,-0.7056,0.7666,-1.0976
0.7666,-1.0976,0.7070,-1.4896
0.7070,-1.4896,0.6317,-1.8816
0.6317,-1.8816,0.5408,-2.2736
0.5408,-2.2736,0.5000,1.5994
0.5000,1.5994,0.5483,1.2074
0.5483,1.2074,0.5809,0.8154
0.5809,0.8154,0.5978,0.4234
0.5978,0.4234,0.5991,0.0314
0.5991,0.0314,0.5847,-0.3606
0.5847,-0.3606,0.5546,-0.7526
0.5546,-0.7526,0.5088,-1.1446
0.5088,-1.1446,0.5000,0.9220
0.5000,0.9220,0.5212,0.5300
0.5212,0.5300,0.5267,0.1380
0.5267,0.1380,0.5166,-0.2540
0.5166,-0.2540,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
