y,v,y_next,v_next
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
4.5063,0.0000,4.4907,-0.3920
4.4907,-0.3920,4.4593,-0.7840
4.4593,-0.7840,4.4123,-1.1760
4.4123,-1.1760,4.3495,-1.5680
4.3495,-1.5680,4.2711,-1.9600
4.2711,-1.9600,4.1771,-2.3520
4.1771,-2.3520,4.0673,-2.7440
4.0673,-2.7440,3.9419,-3.1360
3.9419,-3.1360,3.8007,-3.5280
3.8007,-3.5280,3.6439,-3.9200
3.6439,-3.9200,3.4715,-4.3120
3.4715,-4.3120,3.2833,-4.7040
3.2833,-4.7040,3.0795,-5.0960
3.0795,-5.0960,2.8599,-5.4880
2.8599,-5.4880,2.6247,-5.8800
2.6247,-5.8800,2.3739,-6.2720
2.3739,-6.2720,2.1073,-6.6640
2.1073,-6.6640,1.8251,-7.0560
1.8251,-7.0560,1.5271,-7.4480
1.5271,-7.4480,1.2135,-7.8400
1.2135,-7.8400,0.8843,-8.2320
0.8843,-8.2320,0.5393,-8.6240
0.5393,-8.6240,0.5000,5.4096
0.5000,5.4096,0.7007,5.0176
0.7007,5.0176,0.8857,4.6256
0.8857,4.6256,1.0551,4.2336
1.0551,4.2336,1.2087,3.8416
1.2087,3.8416,1.3467,3.4496
1.3467,3.4496,1.4690,3.0576
1.4690,3.0576,1.5756,2.6656
1.5756,2.6656,1.6666,2.2736
1.6666,2.2736,1.7419,1.8816
1.7419,1.8816,1.8014,1.4896
1.8014,1.4896,1.8453,1.0976
1.8453,1.0976,1.8736,0.7056
1.8736,0.7056,1.8861,0.3136
1.8861,0.3136,1.8830,-0.0784
1.8830,-0.0784,1.8642,-0.4704
1.8642,-0.4704,1.8297,-0.8624
1.8297,-0.8624,1.7795,-1.2544
1.7795,-1.2544,1.7136,-1.6464
1.7136,-1.6464,1.6321,-2.0384
1.6321,-2.0384,1.5349,-2.4304
1.5349,-2.4304,1.4220,-2.8224
1.4220,-2.8224,1.2934,-3.2144
1.2934,-3.2144,1.1492,-3.6064
1.1492,-3.6064,0.9892,-3.9984
0.9892,-3.9984,0.8136,-4.3904
0.8136,-4.3904,0.6223,-4.7824
0.6223,-4.7824,0.5000,3.1046
0.5000,3.1046,0.6085,2.7126
0.6085,2.7126,0.7013,2.3206
0.7013,2.3206,0.7785,1.9286
0.7785,1.9286,0.8399,1.5366
0.8399,1.5366,0.8857,1.1446
0.8857,1.1446,0.9158,0.7526
0.9158,0.7526,0.9303,0.3606
0.9303,0.3606,0.9290,-0.0314
0.9290,-0.0314,0.9121,-0.4234
0.9121,-0.4234,0.8795,-0.8154
0.8795,-0.8154,0.8312,-1.2074
0.8312,-1.2074,0.7672,-1.5994
0.7672,-1.5994,0.6875,-1.9914
0.6875,-1.9914,0.5922,-2.3834
0.5922,-2.3834,0.5000,1.6652
0.5000,1.6652,0.5509,1.2732
0.5509,1.2732,0.5862,0.8812
0.5862,0.8812,0.6057,0.4892
0.6057,0.4892,0.6096,0.0972
0.6096,0.0972,0.5978,-0.2948
0.5978,-0.2948,0.5704,-0.6868
0.5704,-0.6868,0.5272,-1.0788
0.5272,-1.0788,0.5000,0.8825
0.5000,0.8825,0.5196,0.4905
0.5196,0.4905,0.5236,0.0985
0.5236,0.0985,0.5118,-0.2935
0.5118,-0.2935,0.5000,0.4113
0.5000,0.4113,0.5008,0.0193
0.5008,0.0193,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
