b0x, b0y, b0vx, b0vy,b1x, b1y, b1vx, b1vy,b2x, b2y, b2vx, b2vy
0.211444,-2.874516,-0.200058,-1.213969,4.673012,2.301334,-0.053492,-0.062990,0.123468,-3.333508,0.255773,1.287072
0.209391,-2.886938,-0.205269,-1.242282,4.672472,2.300698,-0.054006,-0.063606,0.126084,-3.320345,0.261577,1.316295
0.207285,-2.899650,-0.210609,-1.271182,4.671926,2.300055,-0.054520,-0.064221,0.128759,-3.306884,0.267504,1.346062
0.205124,-2.912656,-0.216063,-1.300571,4.671376,2.299407,-0.055034,-0.064837,0.131494,-3.293122,0.273535,1.376255
0.202908,-2.925959,-0.221606,-1.330310,4.670821,2.298753,-0.055548,-0.065453,0.134291,-3.279054,0.279643,1.406713
0.200636,-2.939561,-0.227206,-1.360211,4.670260,2.298092,-0.056062,-0.066070,0.137149,-3.264682,0.285789,1.437222
0.198308,-2.953461,-0.232819,-1.390030,4.669694,2.297425,-0.056576,-0.066686,0.140068,-3.250007,0.291925,1.467504
0.195924,-2.967656,-0.238390,-1.419454,4.669124,2.296752,-0.057090,-0.067303,0.143048,-3.235035,0.297988,1.497212
0.193486,-2.982136,-0.243847,-1.448095,4.668548,2.296073,-0.057604,-0.067920,0.146087,-3.219776,0.303899,1.525919
0.190995,-2.996891,-0.249105,-1.475486,4.667966,2.295387,-0.058118,-0.068537,0.149183,-3.204244,0.309566,1.553121
0.188454,-3.011902,-0.254065,-1.501087,4.667380,2.294696,-0.058632,-0.069154,0.152331,-3.188462,0.314883,1.578244
0.185868,-3.027145,-0.258611,-1.524293,4.666789,2.293998,-0.059146,-0.069771,0.155529,-3.172455,0.319730,1.600660
0.183242,-3.042589,-0.262624,-1.544462,4.666192,2.293294,-0.059661,-0.070389,0.158769,-3.156258,0.323985,1.619724
0.180582,-3.058199,-0.265979,-1.560955,4.665590,2.292584,-0.060175,-0.071007,0.162044,-3.139910,0.327527,1.634816
0.177896,-3.073931,-0.268563,-1.573185,4.664983,2.291868,-0.060690,-0.071625,0.165346,-3.123456,0.330249,1.645394
0.175193,-3.089737,-0.270280,-1.580675,4.664371,2.291146,-0.061205,-0.072243,0.168667,-3.106946,0.332069,1.651057
0.172483,-3.105569,-0.271063,-1.583112,4.663754,2.290417,-0.061720,-0.072861,0.171996,-3.090430,0.332937,1.651587
0.169774,-3.121372,-0.270883,-1.580384,4.663132,2.289682,-0.062235,-0.073480,0.175325,-3.073960,0.332842,1.646975
0.167076,-3.137098,-0.269750,-1.572592,4.662504,2.288941,-0.062750,-0.074099,0.178643,-3.057585,0.331815,1.637425
0.164399,-3.152699,-0.267714,-1.560039,4.661871,2.288194,-0.063266,-0.074718,0.181942,-3.041352,0.329919,1.623326
0.161751,-3.168131,-0.264855,-1.543193,4.661233,2.287441,-0.063782,-0.075338,0.185215,-3.025300,0.327246,1.605208
0.159138,-3.183357,-0.261275,-1.522633,4.660591,2.286681,-0.064298,-0.075958,0.188454,-3.009464,0.323908,1.583681
0.156567,-3.198347,-0.257089,-1.498992,4.659943,2.285915,-0.064815,-0.076578,0.191654,-2.993870,0.320020,1.559387
0.154043,-3.213076,-0.252416,-1.472907,4.659289,2.285143,-0.065331,-0.077198,0.194811,-2.978540,0.315698,1.532952
0.151569,-3.227526,-0.247365,-1.444983,4.658631,2.284365,-0.065849,-0.077819,0.197921,-2.963491,0.311049,1.504950
0.149149,-3.241683,-0.242041,-1.415760,4.657967,2.283581,-0.066366,-0.078440,0.200983,-2.948732,0.306169,1.475888
0.146784,-3.255540,-0.236530,-1.385709,4.657298,2.282790,-0.066884,-0.079062,0.203994,-2.934270,0.301140,1.446197
0.144475,-3.269093,-0.230909,-1.355219,4.656624,2.281993,-0.067403,-0.079683,0.206955,-2.920108,0.296030,1.416232
0.142222,-3.282339,-0.225237,-1.324608,4.655945,2.281190,-0.067922,-0.080305,0.209864,-2.906245,0.290894,1.386274
0.140026,-3.295280,-0.219565,-1.294126,4.655261,2.280381,-0.068441,-0.080928,0.212721,-2.892679,0.285776,1.356545
0.137887,-3.307920,-0.213931,-1.263964,4.654571,2.279566,-0.068961,-0.081550,0.215529,-2.879407,0.280710,1.327212
0.135804,-3.320262,-0.208362,-1.234266,4.653876,2.278744,-0.069481,-0.082174,0.218286,-2.866423,0.275720,1.298398
0.133775,-3.332314,-0.202881,-1.205135,4.653176,2.277916,-0.070002,-0.082797,0.220994,-2.853721,0.270824,1.270188
0.131800,-3.344080,-0.197503,-1.176643,4.652471,2.277081,-0.070523,-0.083421,0.223654,-2.841295,0.266037,1.242643
0.129877,-3.355568,-0.192238,-1.148836,4.651761,2.276241,-0.071044,-0.084045,0.226268,-2.829137,0.261365,1.215798
0.128006,-3.366786,-0.187093,-1.121740,4.651045,2.275394,-0.071566,-0.084670,0.228836,-2.817240,0.256815,1.189672
0.126186,-3.377739,-0.182071,-1.095368,4.650324,2.274541,-0.072089,-0.085295,0.231360,-2.805598,0.252389,1.164271
0.124414,-3.388437,-0.177174,-1.069720,4.649598,2.273682,-0.072612,-0.085920,0.233841,-2.794202,0.248087,1.139591
0.122690,-3.398885,-0.172401,-1.044788,4.648866,2.272817,-0.073136,-0.086546,0.236280,-2.783045,0.243908,1.115621
0.121012,-3.409090,-0.167751,-1.020559,4.648129,2.271945,-0.073660,-0.087172,0.238679,-2.772122,0.239851,1.092345
0.119380,-3.419060,-0.163221,-0.997013,4.647388,2.271067,-0.074184,-0.087798,0.241038,-2.761425,0.235913,1.069743
0.117792,-3.428802,-0.158809,-0.974130,4.646640,2.270183,-0.074709,-0.088425,0.243359,-2.750947,0.232090,1.047794
0.116247,-3.438320,-0.154509,-0.951887,4.645888,2.269292,-0.075235,-0.089052,0.245642,-2.740682,0.228379,1.026472
0.114744,-3.447623,-0.150320,-0.930259,4.645130,2.268395,-0.075761,-0.089680,0.247890,-2.730624,0.224775,1.005755
0.113282,-3.456715,-0.146236,-0.909222,4.644367,2.267492,-0.076288,-0.090308,0.250103,-2.720768,0.221275,0.985617
0.111859,-3.465603,-0.142253,-0.888752,4.643599,2.266583,-0.076815,-0.090936,0.252282,-2.711108,0.217875,0.966034
0.110475,-3.474291,-0.138368,-0.868824,4.642826,2.265667,-0.077343,-0.091565,0.254427,-2.701638,0.214570,0.946982
0.109130,-3.482785,-0.134576,-0.849415,4.642047,2.264745,-0.077871,-0.092194,0.256541,-2.692354,0.211356,0.928437
0.107821,-3.491090,-0.130873,-0.830500,4.641263,2.263817,-0.078400,-0.092824,0.258623,-2.683250,0.208230,0.910377
0.106548,-3.499211,-0.127256,-0.812058,4.640474,2.262882,-0.078929,-0.093454,0.260675,-2.674322,0.205188,0.892780
0.105311,-3.507152,-0.123720,-0.794068,4.639679,2.261942,-0.079459,-0.094084,0.262697,-2.665566,0.202227,0.875624
0.104108,-3.514917,-0.120263,-0.776509,4.638879,2.260994,-0.079990,-0.094715,0.264691,-2.656977,0.199342,0.858890
0.102940,-3.522510,-0.116880,-0.759361,4.638074,2.260041,-0.080521,-0.095347,0.266656,-2.648552,0.196530,0.842558
0.101804,-3.529936,-0.113568,-0.742605,4.637263,2.259081,-0.081053,-0.095978,0.268594,-2.640286,0.193789,0.826611
0.100701,-3.537199,-0.110325,-0.726225,4.636447,2.258115,-0.081585,-0.096610,0.270505,-2.632175,0.191114,0.811031
0.099629,-3.544301,-0.107147,-0.710202,4.635626,2.257143,-0.082118,-0.097243,0.272390,-2.624218,0.188504,0.795800
0.098589,-3.551246,-0.104031,-0.694520,4.634800,2.256164,-0.082651,-0.097876,0.274250,-2.616408,0.185955,0.780905
0.097579,-3.558037,-0.100975,-0.679165,4.633968,2.255179,-0.083185,-0.098509,0.276084,-2.608745,0.183464,0.766329
0.096599,-3.564678,-0.097975,-0.664122,4.633131,2.254187,-0.083719,-0.099143,0.277895,-2.601224,0.181030,0.752059
0.095649,-3.571172,-0.095031,-0.649377,4.632288,2.253190,-0.084254,-0.099778,0.279681,-2.593844,0.178650,0.738081
0.094728,-3.577521,-0.092138,-0.634917,4.631440,2.252185,-0.084790,-0.100412,0.281444,-2.586600,0.176321,0.724382
0.093835,-3.583729,-0.089295,-0.620730,4.630587,2.251175,-0.085326,-0.101048,0.283185,-2.579490,0.174042,0.710950
0.092970,-3.589797,-0.086501,-0.606804,4.629728,2.250158,-0.085863,-0.101683,0.284903,-2.572513,0.171810,0.697775
0.092132,-3.595728,-0.083751,-0.593127,4.628864,2.249135,-0.086400,-0.102319,0.286599,-2.565664,0.169623,0.684845
0.091322,-3.601525,-0.081046,-0.579690,4.627995,2.248105,-0.086938,-0.102956,0.288274,-2.558943,0.167479,0.672149
0.090538,-3.607190,-0.078383,-0.566482,4.627120,2.247069,-0.087476,-0.103593,0.289928,-2.552346,0.165378,0.659678
0.089780,-3.612725,-0.075760,-0.553493,4.626240,2.246027,-0.088015,-0.104230,0.291561,-2.545872,0.163316,0.647423
0.089049,-3.618132,-0.073176,-0.540715,4.625354,2.244978,-0.088555,-0.104868,0.293174,-2.539518,0.161292,0.635375
0.088342,-3.623413,-0.070629,-0.528138,4.624464,2.243923,-0.089095,-0.105506,0.294767,-2.533283,0.159306,0.623524
0.087661,-3.628571,-0.068117,-0.515756,4.623567,2.242862,-0.089636,-0.106145,0.296340,-2.527164,0.157354,0.611865
0.087005,-3.633606,-0.065640,-0.503559,4.622665,2.241794,-0.090177,-0.106784,0.297895,-2.521160,0.155437,0.600387
0.086373,-3.638522,-0.063195,-0.491540,4.621758,2.240720,-0.090719,-0.107424,0.299430,-2.515269,0.153553,0.589085
0.085765,-3.643319,-0.060782,-0.479693,4.620845,2.239639,-0.091262,-0.108064,0.300947,-2.509490,0.151699,0.577952
0.085181,-3.647999,-0.058399,-0.468010,4.619927,2.238552,-0.091805,-0.108705,0.302446,-2.503820,0.149876,0.566980
0.084620,-3.652564,-0.056045,-0.456485,4.619004,2.237459,-0.092348,-0.109346,0.303927,-2.498258,0.148082,0.556164
0.084083,-3.657015,-0.053719,-0.445112,4.618075,2.236359,-0.092893,-0.109987,0.305390,-2.492803,0.146316,0.545497
0.083569,-3.661353,-0.051420,-0.433885,4.617140,2.235253,-0.093437,-0.110629,0.306836,-2.487454,0.144577,0.534973
0.083078,-3.665581,-0.049147,-0.422798,4.616200,2.234140,-0.093983,-0.111272,0.308264,-2.482208,0.142863,0.524588
0.082609,-3.669700,-0.046898,-0.411845,4.615255,2.233021,-0.094529,-0.111915,0.309676,-2.477064,0.141174,0.514336
0.082162,-3.673710,-0.044673,-0.401023,4.614305,2.231895,-0.095075,-0.112558,0.311071,-2.472022,0.139510,0.504211
0.081737,-3.677613,-0.042472,-0.390325,4.613348,2.230763,-0.095622,-0.113202,0.312450,-2.467080,0.137868,0.494209
0.081334,-3.681411,-0.040292,-0.379748,4.612387,2.229625,-0.096170,-0.113847,0.313812,-2.462237,0.136248,0.484326
0.080953,-3.685103,-0.038133,-0.369286,4.611420,2.228480,-0.096718,-0.114492,0.315159,-2.457491,0.134650,0.474556
0.080593,-3.688693,-0.035995,-0.358935,4.610447,2.227329,-0.097267,-0.115137,0.316490,-2.452842,0.133072,0.464896
0.080254,-3.692180,-0.033876,-0.348690,4.609469,2.226171,-0.097816,-0.115783,0.317805,-2.448289,0.131514,0.455341
0.079936,-3.695565,-0.031776,-0.338549,4.608485,2.225007,-0.098366,-0.116429,0.319104,-2.443830,0.129975,0.445888
0.079640,-3.698850,-0.029694,-0.328507,4.607496,2.223836,-0.098917,-0.117076,0.320389,-2.439465,0.128454,0.436533
0.079363,-3.702036,-0.027630,-0.318560,4.606502,2.222658,-0.099468,-0.117723,0.321659,-2.435192,0.126951,0.427271
0.079107,-3.705123,-0.025583,-0.308705,4.605501,2.221475,-0.100019,-0.118371,0.322913,-2.431011,0.125465,0.418100
0.078872,-3.708112,-0.023551,-0.298937,4.604496,2.220284,-0.100572,-0.119019,0.324153,-2.426921,0.123995,0.409016
0.078657,-3.711005,-0.021535,-0.289255,4.603484,2.219088,-0.101124,-0.119668,0.325379,-2.422921,0.122541,0.400016
0.078461,-3.713801,-0.019534,-0.279655,4.602468,2.217885,-0.101678,-0.120318,0.326590,-2.419010,0.121102,0.391097
0.078286,-3.716503,-0.017547,-0.270133,4.601445,2.216675,-0.102232,-0.120967,0.327786,-2.415187,0.119678,0.382255
0.078130,-3.719110,-0.015574,-0.260686,4.600417,2.215459,-0.102786,-0.121618,0.328969,-2.411453,0.118267,0.373488
0.077994,-3.721623,-0.013614,-0.251312,4.599384,2.214236,-0.103341,-0.122269,0.330138,-2.407805,0.116870,0.364792
0.077877,-3.724043,-0.011667,-0.242008,4.598345,2.213007,-0.103897,-0.122920,0.331293,-2.404243,0.115486,0.356166
0.077780,-3.726371,-0.009731,-0.232771,4.597300,2.211771,-0.104453,-0.123572,0.332434,-2.400767,0.114115,0.347605
0.077702,-3.728606,-0.007808,-0.223599,4.596250,2.210529,-0.105010,-0.124224,0.333561,-2.397376,0.112755,0.339109
0.077643,-3.730751,-0.005895,-0.214488,4.595194,2.209280,-0.105567,-0.124877,0.334675,-2.394069,0.111407,0.330674
0.077603,-3.732806,-0.003994,-0.205437,4.594133,2.208025,-0.106125,-0.125530,0.335776,-2.390846,0.110069,0.322297
0.077582,-3.734770,-0.002102,-0.196442,4.593066,2.206763,-0.106683,-0.126184,0.336863,-2.387707,0.108743,0.313977
0.077580,-3.736645,-0.000220,-0.187503,4.591994,2.205495,-0.107242,-0.126839,0.337938,-2.384650,0.107426,0.305711
0.077596,-3.738431,0.001652,-0.178616,4.590916,2.204220,-0.107801,-0.127494,0.338999,-2.381675,0.106119,0.297496
0.077631,-3.740129,0.003516,-0.169779,4.589832,2.202938,-0.108361,-0.128149,0.340047,-2.378781,0.104821,0.289331
0.077685,-3.741739,0.005371,-0.160989,4.588743,2.201650,-0.108922,-0.128805,0.341082,-2.375969,0.103532,0.281214
0.077757,-3.743261,0.007218,-0.152246,4.587648,2.200356,-0.109483,-0.129462,0.342105,-2.373238,0.102251,0.273142
